,3001,2061,2010,2001,dune_4,dune_3,dune_1,dune_2,dune_5,dune_6
Number of Words,50629,59305,74534,61327,136620,147274,185339,73598,163452,140954
Average Paragraph Length,37,36,35,47,21,30,24,24,26,22
